model,module,layer,cos_to_joint,rel_l2_to_joint,delta_norm,joint_delta_norm
ft_from_1k,gating_einsum,0,0.188726491576,1.978871636321,68.618846682849,35.987630082182
ft_from_1k,gating_einsum,1,0.162815523996,1.945094414613,79.694462576220,43.333603685770
ft_from_1k,gating_einsum,2,0.128476354467,1.954176956907,80.741012965851,44.551304552103
ft_from_1k,gating_einsum,3,0.124813252904,1.933978111737,82.670302283992,46.316789118396
ft_from_1k,gating_einsum,4,0.114257655498,1.935970831731,83.043716551982,46.761620303581
ft_from_1k,gating_einsum,5,0.114741430252,1.924583946520,83.151185473376,47.161086828691
ft_from_1k,gating_einsum,6,0.108775997653,1.921886934595,83.543110521773,47.640622059877
ft_from_1k,gating_einsum,7,0.113331655672,1.907436600495,83.573181889006,47.987279468718
ft_from_1k,gating_einsum,8,0.114969304828,1.894417194244,84.073864227512,48.652404183159
ft_from_1k,gating_einsum,9,0.112903822594,1.889705533754,84.235567218558,48.965521939775
ft_from_1k,gating_einsum,10,0.111980773381,1.885064196451,84.878120327199,49.524628697896
ft_from_1k,gating_einsum,11,0.115237400598,1.867873681681,84.458325479976,49.766796607872
ft_from_1k,gating_einsum,12,0.131130986285,1.839417194057,83.444539515679,49.653574089677
ft_from_1k,gating_einsum,13,0.137846497408,1.813283480671,81.997699932890,49.493784569796
ft_from_1k,gating_einsum,14,0.114667849021,1.857583421665,75.946796619997,45.090846226815
ft_from_1k,gating_einsum,15,0.127710258062,1.852255420137,75.673958204566,44.723229643875
ft_from_1k,gating_einsum,16,0.159307991290,1.780879865330,47.825243287619,29.134972125942
ft_from_1k,gating_einsum,17,0.496374725314,1.648641997327,22.540693361693,11.876347808156
ft_from_1k,linear,0,0.148322911172,1.690873960260,42.988033829367,28.284610343652
ft_from_1k,linear,1,0.139664189331,1.647582713827,47.606701455392,32.685870489082
ft_from_1k,linear,2,0.122879497751,1.663543158962,46.961334539174,32.210012029747
ft_from_1k,linear,3,0.123345207987,1.655633897864,48.436798315431,33.436646940752
ft_from_1k,linear,4,0.116180278889,1.661047302453,48.903038739677,33.783047009370
ft_from_1k,linear,5,0.111573715624,1.664525835076,49.042834249514,33.895121436728
ft_from_1k,linear,6,0.108854062766,1.664616905351,49.424655884745,34.225968062512
ft_from_1k,linear,7,0.107840737199,1.660248713195,49.529188931077,34.454532224880
ft_from_1k,linear,8,0.109984796791,1.654291201713,49.977147256314,34.890551199912
ft_from_1k,linear,9,0.109564906233,1.650906538551,49.978744229534,35.006319194336
ft_from_1k,linear,10,0.108509449645,1.651408243112,50.222454319111,35.189698901436
ft_from_1k,linear,11,0.109218215306,1.644445531678,49.460674751273,34.850369608186
ft_from_1k,linear,12,0.131772693063,1.627332823767,49.011732168601,34.458406186311
ft_from_1k,linear,13,0.148502233091,1.600651573316,44.267535562366,31.459498475218
ft_from_1k,linear,14,0.120897083470,1.686274650163,45.162626649781,30.432369320094
ft_from_1k,linear,15,0.161136259698,1.640900700045,39.249283870071,26.662836135188
ft_from_1k,linear,16,0.158215445575,1.825750309968,29.391366323400,17.351068536952
ft_from_1k,linear,17,0.407314139942,1.784431080072,11.627032863987,5.992335420307
