module,layer,task,r_in_2task_mean,r_in_4task_mean,drop_r,cos_with_2task_mean,cos_with_4task_mean,norm_ratio_2task_mean,norm_ratio_4task_mean
linear,5,libero_spatial,0.516951280382,0.277128803802,-0.239822476580,0.715469747830,0.525047696990,0.722534086102,0.527816435327
linear,5,libero_object,0.037173978937,0.277092809497,0.239918830560,0.051273052652,0.523179614116,0.725019810875,0.529632275457
linear,5,libero_goal,0.035872839528,0.276258000591,0.240385161063,0.050023152509,0.527345929645,0.717124725829,0.523864858077
linear,6,libero_10,0.516125856120,0.275703715080,-0.240422141040,0.718118397864,0.525522179737,0.718719723175,0.524628123627
linear,6,libero_spatial,0.516098026858,0.276078016183,-0.240020010675,0.718700094854,0.526690304801,0.718099288637,0.524175238592
linear,6,libero_object,0.036739971889,0.276668169710,0.239928197821,0.050820534871,0.524285206826,0.722935561031,0.527705466620
linear,6,libero_goal,0.035161962854,0.275799673318,0.240637710464,0.048872403412,0.525160833051,0.719464573029,0.525171825392
linear,7,libero_10,0.517039959718,0.276865322344,-0.240174637375,0.719023494500,0.526677582513,0.719086321481,0.525682754565
linear,7,libero_spatial,0.517036880948,0.277409378155,-0.239627502793,0.719084177794,0.527760213223,0.719021356489,0.525635262387
linear,7,libero_object,0.037858998575,0.277685906904,0.239826908329,0.052321412517,0.524954272629,0.723585177722,0.528971610257
linear,7,libero_goal,0.037147910000,0.277235388557,0.240087478557,0.051619384127,0.526968187421,0.719650391576,0.526095113850
linear,8,libero_10,0.516867573188,0.276293605630,-0.240573967558,0.718648039105,0.526458840639,0.719222129697,0.524815207387
linear,8,libero_spatial,0.516839760730,0.276692960320,-0.240146800410,0.719202549778,0.527654981144,0.718628932683,0.524382352499
linear,8,libero_object,0.037614525920,0.277090152640,0.239475626720,0.052003252791,0.524991944539,0.723311021935,0.527798865340
linear,8,libero_goal,0.035339697967,0.275906904763,0.240567206796,0.048993976045,0.524202456687,0.721307001798,0.526336535136
linear,9,libero_10,0.516596685382,0.276238002337,-0.240358683044,0.717055550901,0.525566373896,0.720441651602,0.525600601671
linear,9,libero_spatial,0.516436300749,0.276480941100,-0.239955359649,0.720321851147,0.528588835912,0.716952151218,0.523054825067
linear,9,libero_object,0.037298225988,0.277035911030,0.239737685042,0.051525128234,0.524577831285,0.723884195273,0.528112120849
linear,9,libero_goal,0.035963123870,0.276322671206,0.240359547335,0.049816647931,0.524658327478,0.721909750332,0.526671657979
linear,10,libero_10,0.516394029901,0.275939948006,-0.240454081895,0.716022643159,0.524752588642,0.721197904612,0.525847711813
linear,10,libero_spatial,0.516152874736,0.275960825359,-0.240192049377,0.721010921283,0.528695234195,0.715873864736,0.521965789572
linear,10,libero_object,0.037219515526,0.276906099144,0.239686583617,0.051427631075,0.524750418243,0.723726034987,0.527691049910
linear,10,libero_goal,0.034910435738,0.275713028976,0.240802593237,0.048349491228,0.523707020841,0.722043497288,0.526464259603
linear,11,libero_10,0.516841588570,0.276647023579,-0.240194564991,0.715097221891,0.524746729403,0.722757091971,0.527201044004
linear,11,libero_spatial,0.516476713372,0.276486161213,-0.239990552160,0.722461347197,0.530216661061,0.714884907513,0.521458832808
linear,11,libero_object,0.037307054832,0.277119571647,0.239812516814,0.051568082276,0.525137841674,0.723452437743,0.527708250396
linear,11,libero_goal,0.036636586881,0.276794840911,0.240158254030,0.050609936253,0.524197414233,0.723901067536,0.528035494636
linear,12,libero_10,0.520132977011,0.282169419714,-0.237963557296,0.715088226231,0.528436027026,0.727368956629,0.533970821979
linear,12,libero_spatial,0.519438432333,0.281303665261,-0.238134767073,0.726779548087,0.536143746498,0.714712506289,0.524679560468
linear,12,libero_object,0.044145308349,0.282135796840,0.237990488491,0.061106339228,0.531982247187,0.722434184523,0.530348142879
linear,12,libero_goal,0.044399876753,0.282454873871,0.238054997119,0.060881287054,0.527580055271,0.729286105819,0.535378225635
linear,13,libero_10,0.527917989565,0.292606452997,-0.235311536567,0.718871378122,0.537916932363,0.734370578147,0.543962153621
linear,13,libero_spatial,0.526702271819,0.291538438289,-0.235163833530,0.733361128549,0.548018352191,0.718203148920,0.531986633519
linear,13,libero_object,0.056626882953,0.291456037223,0.234829154270,0.077701003656,0.539912785920,0.728779298711,0.539820587369
linear,13,libero_goal,0.059329859361,0.293144644111,0.233814784750,0.080385463456,0.536207333517,0.738067018708,0.546700176941
linear,14,libero_10,0.526566673099,0.289889447620,-0.236677225479,0.707727017177,0.526688686427,0.744025111829,0.550399989767
linear,14,libero_spatial,0.523976562373,0.285979003499,-0.237997558874,0.741309208894,0.546928883271,0.706825918371,0.522881515763
linear,14,libero_object,0.046860795243,0.283992202607,0.237131407363,0.066582649451,0.545465152877,0.703798897004,0.520642246546
linear,14,libero_goal,0.054264986478,0.288992670649,0.234727684171,0.072760319375,0.523806523287,0.745804676833,0.551716440710
linear,15,libero_10,0.528207611006,0.293289646591,-0.234917964416,0.696986986308,0.517782582688,0.757844294632,0.566433975180
linear,15,libero_spatial,0.523814312054,0.289093172539,-0.234721139516,0.752248807306,0.555459850844,0.696331196497,0.520457368970
linear,15,libero_object,0.051027866128,0.286655522758,0.235627656630,0.074007173712,0.556233851244,0.689498917048,0.515350732640
linear,15,libero_goal,0.059383194688,0.292767031581,0.233383836893,0.079501530542,0.524402546081,0.746944043514,0.558286823297
linear,16,libero_10,0.576247048352,0.365339425005,-0.210907623347,0.702735062360,0.558492866093,0.820006114989,0.654152357506
linear,16,libero_spatial,0.555065859652,0.336240886165,-0.218824973486,0.796521918871,0.604841966843,0.696862002791,0.555915271423
linear,16,libero_object,0.117241293061,0.337068354069,0.219827061008,0.164230855616,0.591875436099,0.713881034239,0.569492047670
linear,16,libero_goal,0.127886526124,0.343515083861,0.215628557737,0.175704769538,0.591619870667,0.727848916456,0.580634797601
linear,17,libero_10,0.680878245026,0.513357699153,-0.167520545873,0.797202136472,0.691113089856,0.854084822250,0.742798402588
linear,17,libero_spatial,0.651447389817,0.496497771602,-0.154949618215,0.833567196784,0.730480478015,0.781517545713,0.679686571435
linear,17,libero_object,0.354042172412,0.510605317663,0.156563145251,0.423531552551,0.702337972939,0.835928681769,0.727007989510
linear,17,libero_goal,0.333143553642,0.492236930536,0.159093376894,0.418867249346,0.711621773571,0.795344000187,0.691711452371
